K,G,S,CV,NPfix
100.0,0.35,1.0,0.5,0.7032046576838383
100.0,0.35,1.0,1.0,1.9823121440474023
100.0,0.4,0.0,0.0,1.528434243683171
100.0,0.4,0.0,0.01,1.5301925230312512
100.0,0.4,0.0,0.1,1.6581392506266819
100.0,0.4,0.0,0.5,1.9968881849147053
100.0,0.4,0.0,1.0,1.9990634061995305
100.0,0.4,0.01,0.0,1.3587923162683821
100.0,0.4,0.01,0.01,1.3632074433054489
100.0,0.4,0.01,0.1,1.561163959706006
100.0,0.4,0.01,0.5,1.9968959896185872
100.0,0.4,0.01,1.0,1.999063393078715
100.0,0.4,0.1,0.0,0.707484
100.0,0.4,0.1,0.01,0.709416
100.0,0.4,0.1,0.1,0.804456
100.0,0.4,0.1,0.5,1.9945757442827985
100.0,0.4,0.1,1.0,1.9987630871583228
100.0,0.4,0.5,0.0,0.61646
100.0,0.4,0.5,0.01,0.616312
100.0,0.4,0.5,0.1,0.619184
100.0,0.4,0.5,0.5,1.8596461023816722
100.0,0.4,0.5,1.0,1.9963089364172264
100.0,0.4,1.0,0.0,0.594936
100.0,0.4,1.0,0.01,0.591536
100.0,0.4,1.0,0.1,0.59144
100.0,0.4,1.0,0.5,0.7581656469816457
100.0,0.4,1.0,1.0,1.9756533361612387
100.0,0.45,0.0,0.0,1.4696456438168461
100.0,0.45,0.0,0.01,1.4694914405345032
100.0,0.45,0.0,0.1,1.5969943985789952
100.0,0.45,0.0,0.5,1.9920591610557825
100.0,0.45,0.0,1.0,1.997319061711673
100.0,0.45,0.01,0.0,1.3191565167785906
100.0,0.45,0.01,0.01,1.31894824290104
100.0,0.45,0.01,0.1,1.5056708238018357
100.0,0.45,0.01,0.5,1.9914357379351861
100.0,0.45,0.01,1.0,1.9971102493962987
100.0,0.45,0.1,0.0,0.759264
100.0,0.45,0.1,0.01,0.759728
100.0,0.45,0.1,0.1,0.842208
100.0,0.45,0.1,0.5,1.9871216120465918
100.0,0.45,0.1,1.0,1.9962320722800773
100.0,0.45,0.5,0.0,0.675728
100.0,0.45,0.5,0.01,0.679316
100.0,0.45,0.5,0.1,0.675436
100.0,0.45,0.5,0.5,1.8286081596853712
100.0,0.45,0.5,1.0,1.9920807792577333
100.0,0.45,1.0,0.0,0.654764
100.0,0.45,1.0,0.01,0.653036
100.0,0.45,1.0,0.1,0.654488
100.0,0.45,1.0,0.5,0.8020256243074917
100.0,0.45,1.0,1.0,1.9644602594533147
100.0,0.5,0.0,0.0,1.4139665162650168
100.0,0.5,0.0,0.01,1.4154755583163843
100.0,0.5,0.0,0.1,1.5371737744105178
100.0,0.5,0.0,0.5,1.983502829409751
100.0,0.5,0.0,1.0,1.993417708293567
